form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,source,page,language_id
hmar093,fe,1.pl.incl.fut.neg,fe nɔ mei-niʔ ,Σnɔmeiniʔ,Σ n ɔ m ei n i ʔ,Σ+nɔ+mei+niʔ,Σ + n ɔ + m ei + n i ʔ,emph,Infimate2025Hmar,nopage,hmar
hmar094,mu,1.sg.2.sg.fut.neg,ka m̥u nɔ diŋ ce,kaΣnɔdiŋce,k a Σ n ɔ d i ŋ ts e,ka+Σ+nɔ+diŋ+ce,k a + Σ + n ɔ + d i ŋ + ts e,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar095,mu,1.sg.2.sg.fut.neg,m̥u nɔ-ŋ ka ti ce,Σnɔŋkatice,Σ n ɔ ŋ k a t i ts e,Σ+nɔ+ŋ+ka+ti+ce,Σ + n ɔ + ŋ + k a + t i + ts e,default,Infimate2025Hmar,nopage,hmar
hmar096,mu,1.sg.3.pl.fut.neg,m̥u nɔ niŋ aʔ,Σnɔniŋaʔ,Σ n ɔ n i ŋ a ʔ,Σ+nɔ+niŋ+aʔ,Σ + n ɔ + n i ŋ + a ʔ,emph,Infimate2025Hmar,nopage,hmar
hmar097,mu,1.sg.2.pl.fut.neg,ka m̥u nɔ diŋ ceu,kaΣnɔdiŋceu,k a Σ n ɔ d i ŋ ts e u,ka+Σ+nɔ+diŋ+ce+u,k a + Σ + n ɔ + d i ŋ + ts e + u,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar098,mu,1.sg.2.pl.fut.neg,m̥u nɔ-ŋ ka ti ceu,Σnɔŋkaticeu,Σ n ɔ ŋ k a t i ts e u,Σ+nɔ+ŋ+ka+ti+ce+u,Σ + n ɔ + ŋ + k a + t i + ts e + u,default,Infimate2025Hmar,nopage,hmar
hmar099,mu,1.sg.3.pl.fut.neg,m̥u nɔ-ŋ ka tiʔ,Σnɔŋkatiʔ,Σ n ɔ ŋ k a t i ʔ,Σ+nɔ+ŋ+ka+tiʔ,Σ + n ɔ + ŋ + k a + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar100,mu,1.sg.3.pl.fut.neg,ka m̥u nɔ diŋ,kaΣnɔdiŋ,k a Σ n ɔ d i ŋ,ka+Σ+nɔ+diŋ,k a + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar101,mu,1.pl.excl.2.sg.fut.neg,kan m̥u nɔ diŋ ce,kanΣnɔdiŋce,k a n Σ n ɔ d i ŋ ts e,ka+n+Σ+nɔ+diŋ+ce,k a + n + Σ + n ɔ + d i ŋ + ts e,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar102,mu,1.pl.excl.2.sg.fut.neg,m̥u nɔ-ŋ kan ti ce,Σnɔŋkantice,Σ n ɔ ŋ k a n t i ts e,Σ+nɔ+ŋ+ka+n+ti+ce,Σ + n ɔ + ŋ + k a + n + t i + ts e,default,Infimate2025Hmar,nopage,hmar
hmar103,mu,1.pl.excl.2.pl.fut.neg,kan m̥u nɔ diŋ ceu,kanΣnɔdiŋceu,k a n Σ n ɔ d i ŋ ts e u,ka+n+Σ+nɔ+diŋ+ce+u,k a + n + Σ + n ɔ + d i ŋ + ts e + u,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar104,mu,1.pl.excl.2.pl.fut.neg,m̥u nɔ-ŋ kan ti ceu,Σnɔŋkanticeu,Σ n ɔ ŋ k a n t i ts e u,Σ+nɔ+ŋ+ka+n+ti+ce+u,Σ + n ɔ + ŋ + k a + n + t i + ts e + u,default,Infimate2025Hmar,nopage,hmar
hmar105,mu,1.sg.3.sg.fut.neg,m̥u nɔ niŋ aʔ,Σnɔniŋaʔ,Σ n ɔ n i ŋ a ʔ,Σ+nɔ+niŋ+aʔ,Σ + n ɔ + n i ŋ + a ʔ,emph,Infimate2025Hmar,nopage,hmar
hmar106,mu,1.sg.3.sg.fut.neg,m̥u nɔ-ŋ ka tiʔ,Σnɔŋkatiʔ,Σ n ɔ ŋ k a t i ʔ,Σ+nɔ+ŋ+ka+tiʔ,Σ + n ɔ + ŋ + k a + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar107,mu,1.sg.3.sg.fut.neg,ka m̥u nɔ diŋ,kaΣnɔdiŋ,k a Σ n ɔ d i ŋ,ka+Σ+nɔ+diŋ,k a + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar108,mu,1.pl.incl.3.sg.fut.neg,m̥u nɔ-ŋ ei tiʔ,Σnɔŋeitiʔ,Σ n ɔ ŋ ei t i ʔ,Σ+nɔ+ŋ+ei+tiʔ,Σ + n ɔ + ŋ + ei + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar109,mu,1.pl.excl.3.sg.fut.neg,m̥u nɔ-ŋ kan tiʔ,Σnɔŋkantiʔ,Σ n ɔ ŋ k a n t i ʔ,Σ+nɔ+ŋ+ka+n+tiʔ,Σ + n ɔ + ŋ + k a + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar110,mu,1.pl.incl.3.sg.fut.neg,ei m̥u nɔ diŋ,eiΣnɔdiŋ,ei Σ n ɔ d i ŋ,ei+Σ+nɔ+diŋ,ei + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar111,mu,1.pl.excl.3.sg.fut.neg,kan m̥u nɔ diŋ,kanΣnɔdiŋ,k a n Σ n ɔ d i ŋ,ka+n+Σ+nɔ+diŋ,k a + n + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar112,mu,1.pl.incl.3.pl.fut.neg,m̥u nɔ-ŋ ei tiʔ,Σnɔŋeitiʔ,Σ n ɔ ŋ ei t i ʔ,Σ+nɔ+ŋ+ei+tiʔ,Σ + n ɔ + ŋ + ei + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar113,mu,1.pl.excl.3.pl.fut.neg,m̥u nɔ-ŋ kan tiʔ,Σnɔŋkantiʔ,Σ n ɔ ŋ k a n t i ʔ,Σ+nɔ+ŋ+ka+n+tiʔ,Σ + n ɔ + ŋ + k a + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar114,mu,1.pl.incl.3.pl.fut.neg,ei m̥u nɔ diŋ,eiΣnɔdiŋ,ei Σ n ɔ d i ŋ,ei+Σ+nɔ+diŋ,ei + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar115,mu,1.pl.excl.3.pl.fut.neg,kan m̥u nɔ diŋ,kanΣnɔdiŋ,k a n Σ n ɔ d i ŋ,ka+n+Σ+nɔ+diŋ,k a + n + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar116,fe,2.sg.fut.neg,fe nɔŋ i tiʔ ,Σnɔŋitiʔ,Σ n ɔ ŋ i t i ʔ,Σ+nɔ+ŋ+i+tiʔ,Σ + n ɔ + ŋ + i + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar117,fe,2.sg.fut.neg,i fe nɔ diŋ,iΣnɔdiŋ,i Σ n ɔ d i ŋ,i+Σ+nɔ+diŋ,i + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar118,fe,2.sg.fut.neg,fe nɔ ti niʔ ,Σnɔtiniʔ,Σ n ɔ t i n i ʔ,Σ+nɔ+ti+niʔ,Σ + n ɔ + t i + n i ʔ,emph,Infimate2025Hmar,nopage,hmar
hmar119,fe,2.pl.fut.neg,fe nɔŋ in tiʔ ,Σnɔŋintiʔ,Σ n ɔ ŋ i n t i ʔ,Σ+nɔ+ŋ+i+n+tiʔ,Σ + n ɔ + ŋ + i + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar120,fe,2.pl.fut.neg,in fe nɔ diŋ,inΣnɔdiŋ,i n Σ n ɔ d i ŋ,i+n+Σ+nɔ+diŋ,i + n + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar121,fe,2.pl.fut.neg,fe nɔ ti ni-u,Σnɔtiniu,Σ n ɔ t i n i u,Σ+nɔ+ti+ni+u,Σ + n ɔ + t i + n i + u,emph,Infimate2025Hmar,nopage,hmar
hmar122,mu,2.sg.1.sg.fut.neg,i mi m̥u nɔ diŋ,imiΣnɔdiŋ,i m i Σ n ɔ d i ŋ,i+mi+Σ+nɔ+diŋ,i + m i + Σ + n ɔ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
